id;accuracy;altitude;bearing;deviceId;latitude;longitude;speed;timestamp;createdAt;updatedAt
698;17;40;315.20001220703125;356318067855771;18.49046528;-33.82335788;1.8;1509198882084;2017-10-28 14:46:07.294+00;2017-10-28 14:46:07.294+00
699;17;43;308.6000061035156;356318067855771;18.49040475;-33.82332501;1.81;1509198883084;2017-10-28 14:46:07.484+00;2017-10-28 14:46:07.484+00
700;15;44;314.1000061035156;356318067855771;18.49033234;-33.82328804;1.78;1509198884082;2017-10-28 14:46:07.672+00;2017-10-28 14:46:07.672+00
701;15;44;292.3999938964844;356318067855771;18.49014746;-33.82320025;2.08;1509198885086;2017-10-28 14:46:07.861+00;2017-10-28 14:46:07.861+00
702;14;41;307.1000061035156;356318067855771;18.49010704;-33.82315007;1.49;1509198886086;2017-10-28 14:46:08.051+00;2017-10-28 14:46:08.051+00
703;16;43;307.79998779296875;356318067855771;18.49002016;-33.82308579;1.61;1509198888082;2017-10-28 14:46:08.241+00;2017-10-28 14:46:08.241+00
704;15;35;315.20001220703125;356318067855771;18.48980828;-33.8230158;0.7;1509198890085;2017-10-28 14:46:08.434+00;2017-10-28 14:46:08.434+00
705;14;32;279.6000061035156;356318067855771;18.48973732;-33.82299575;0.37;1509198892083;2017-10-28 14:46:08.623+00;2017-10-28 14:46:08.623+00
706;17;35;285.1000061035156;356318067855771;18.48967969;-33.82296566;0.4;1509198900082;2017-10-28 14:46:08.814+00;2017-10-28 14:46:08.814+00
707;10;35;248.39999389648438;356318067855771;18.48962754;-33.82292395;0.98;1509198903083;2017-10-28 14:46:09.002+00;2017-10-28 14:46:09.002+00
708;9;38;-1;356318067855771;18.4895787;-33.82288415;0;1509198907084;2017-10-28 14:46:09.191+00;2017-10-28 14:46:09.191+00
709;8;37;-1;356318067855771;18.48954236;-33.8228417;0;1509198915080;2017-10-28 14:46:09.379+00;2017-10-28 14:46:09.379+00
710;8;37;-1;356318067855771;18.48951125;-33.82280289;0;1509198919082;2017-10-28 14:46:09.566+00;2017-10-28 14:46:09.566+00
711;12;40;193.10000610351562;356318067855771;18.48953968;-33.82275814;0.35;1509198933082;2017-10-28 14:46:09.755+00;2017-10-28 14:46:09.755+00
712;23;42;330.8999938964844;356318067855771;18.48948941;-33.82270157;0.57;1509198939079;2017-10-28 14:46:09.949+00;2017-10-28 14:46:09.949+00
713;19;39;21;356318067855771;18.48953037;-33.82261946;0.68;1509198941085;2017-10-28 14:46:10.138+00;2017-10-28 14:46:10.138+00
714;17;40;301.6000061035156;356318067855771;18.48946392;-33.82257734;0.71;1509198943080;2017-10-28 14:46:10.325+00;2017-10-28 14:46:10.325+00
715;18;41;346;356318067855771;18.48943253;-33.82253988;1.01;1509198946082;2017-10-28 14:46:10.515+00;2017-10-28 14:46:10.515+00
716;24;41;340.29998779296875;356318067855771;18.48940976;-33.82246979;1.34;1509198950078;2017-10-28 14:46:10.704+00;2017-10-28 14:46:10.704+00
717;7;0;145.1999969482422;356318067855771;18.49036326;-33.8231178;2.5;1509200743858;2017-10-28 14:46:10.894+00;2017-10-28 14:46:10.894+00
718;4;19;152.89999389648438;356318067855771;18.49036113;-33.82318795;2.39;1509200744765;2017-10-28 14:46:11.082+00;2017-10-28 14:46:11.082+00
719;4;21;174.3000030517578;356318067855771;18.49038398;-33.82325943;3.21;1509200746771;2017-10-28 14:46:11.269+00;2017-10-28 14:46:11.269+00
720;3;31;185.3000030517578;356318067855771;18.4903781;-33.82332883;3.13;1509200747772;2017-10-28 14:46:11.458+00;2017-10-28 14:46:11.458+00
721;3;34;199.5;356318067855771;18.49036003;-33.8233919;2.93;1509200749772;2017-10-28 14:46:11.646+00;2017-10-28 14:46:11.646+00
722;3;37;199.6999969482422;356318067855771;18.49034621;-33.82344383;2.21;1509200751770;2017-10-28 14:46:11.836+00;2017-10-28 14:46:11.836+00
723;3;38;197.60000610351562;356318067855771;18.49032556;-33.8234944;1.34;1509200755770;2017-10-28 14:46:12.024+00;2017-10-28 14:46:12.024+00
724;3;41;194.39999389648438;356318067855771;18.49029993;-33.82353927;2.43;1509200771771;2017-10-28 14:46:12.212+00;2017-10-28 14:46:12.212+00
725;3;40;197.3000030517578;356318067855771;18.49027071;-33.82360915;4.47;1509200773774;2017-10-28 14:46:12.398+00;2017-10-28 14:46:12.398+00
726;3;40;195.39999389648438;356318067855771;18.49024716;-33.82368406;3.89;1509200775771;2017-10-28 14:46:12.587+00;2017-10-28 14:46:12.587+00
727;3;40;191.89999389648438;356318067855771;18.49023075;-33.82373588;2.67;1509200777771;2017-10-28 14:46:12.775+00;2017-10-28 14:46:12.775+00
728;3;40;183.89999389648438;356318067855771;18.490227;-33.82379433;3.12;1509200779771;2017-10-28 14:46:12.964+00;2017-10-28 14:46:12.964+00
729;3;41;153.39999389648438;356318067855771;18.49025811;-33.82386143;3.87;1509200781785;2017-10-28 14:46:13.159+00;2017-10-28 14:46:13.159+00
730;3;40;116.0999984741211;356318067855771;18.49034055;-33.82389847;5.04;1509200783774;2017-10-28 14:46:13.348+00;2017-10-28 14:46:13.348+00
731;3;39;109.0999984741211;356318067855771;18.49039313;-33.82391243;5.15;1509200784767;2017-10-28 14:46:13.536+00;2017-10-28 14:46:13.536+00
732;3;41;109.5999984741211;356318067855771;18.4904819;-33.82394219;4.2;1509200786774;2017-10-28 14:46:13.724+00;2017-10-28 14:46:13.724+00
733;3;41;86.80000305175781;356318067855771;18.49058117;-33.82393938;4.7;1509200788773;2017-10-28 14:46:13.913+00;2017-10-28 14:46:13.913+00
734;3;40;82.9000015258789;356318067855771;18.49063654;-33.82392897;5.12;1509200789775;2017-10-28 14:46:14.101+00;2017-10-28 14:46:14.101+00
735;3;40;117.5999984741211;356318067855771;18.49074372;-33.82395523;5.6;1509200791771;2017-10-28 14:46:14.29+00;2017-10-28 14:46:14.29+00
736;3;40;137.39999389648438;356318067855771;18.49079252;-33.82399961;6.48;1509200792770;2017-10-28 14:46:14.48+00;2017-10-28 14:46:14.48+00
737;3;40;142.39999389648438;356318067855771;18.49084056;-33.82405177;6.8;1509200793771;2017-10-28 14:46:14.669+00;2017-10-28 14:46:14.669+00
738;3;40;130.1999969482422;356318067855771;18.49089882;-33.82409305;7.2;1509200794769;2017-10-28 14:46:14.857+00;2017-10-28 14:46:14.857+00
